Date,Open,High,Low,Close,Adj Close,Volume
14/10/2010,1177.82,1178.89,1166.71,1173.81,1173.81,4969410000
15/10/2010,1177.47,1181.2,1167.12,1176.19,1176.19,5724910000
18/10/2010,1176.83,1185.53,1174.55,1184.71,1184.71,4450050000
19/10/2010,1178.64,1178.64,1159.71,1165.9,1165.9,5600120000
20/10/2010,1166.74,1182.94,1166.74,1178.17,1178.17,5027880000
21/10/2010,1179.82,1189.43,1171.17,1180.26,1180.26,4625470000
22/10/2010,1180.52,1183.93,1178.99,1183.08,1183.08,3177890000
25/10/2010,1184.74,1196.14,1184.74,1185.62,1185.62,4221380000
26/10/2010,1184.88,1187.11,1177.72,1185.64,1185.64,4203680000
27/10/2010,1183.84,1183.84,1171.7,1182.45,1182.45,4335670000
28/10/2010,1184.47,1189.53,1177.1,1183.78,1183.78,4283460000
29/10/2010,1183.87,1185.46,1179.7,1183.26,1183.26,3537880000
01/11/2010,1185.71,1195.81,1177.65,1184.38,1184.38,4129180000
02/11/2010,1187.86,1195.88,1187.86,1193.57,1193.57,3866200000
03/11/2010,1193.79,1198.3,1183.56,1197.96,1197.96,4665480000
04/11/2010,1198.34,1221.25,1198.34,1221.06,1221.06,5695470000
05/11/2010,1221.2,1227.08,1220.29,1225.85,1225.85,5637460000
08/11/2010,1223.24,1224.57,1217.55,1223.25,1223.25,3937230000
09/11/2010,1223.59,1226.84,1208.94,1213.4,1213.4,4848040000
10/11/2010,1213.14,1218.75,1204.33,1218.71,1218.71,4561300000
11/11/2010,1213.04,1215.45,1204.49,1213.54,1213.54,3931120000
12/11/2010,1209.07,1210.5,1194.08,1199.21,1199.21,4213620000
15/11/2010,1200.44,1207.43,1197.15,1197.75,1197.75,3503370000
16/11/2010,1194.79,1194.79,1173,1178.34,1178.34,5116380000
17/11/2010,1178.33,1183.56,1175.82,1178.59,1178.59,3904780000
18/11/2010,1183.75,1200.29,1183.75,1196.69,1196.69,4687260000
19/11/2010,1196.12,1199.97,1189.44,1199.73,1199.73,3675390000
22/11/2010,1198.07,1198.94,1184.58,1197.84,1197.84,3689500000
23/11/2010,1192.51,1192.51,1176.91,1180.73,1180.73,4133070000
24/11/2010,1183.7,1198.62,1183.7,1198.35,1198.35,3384250000
26/11/2010,1194.16,1194.16,1186.93,1189.4,1189.4,1613820000
29/11/2010,1189.08,1190.34,1173.64,1187.76,1187.76,3673450000
30/11/2010,1182.96,1187.4,1174.14,1180.55,1180.55,4284700000
01/12/2010,1186.6,1207.61,1186.6,1206.07,1206.07,4548110000
02/12/2010,1206.81,1221.89,1206.81,1221.53,1221.53,4970800000
03/12/2010,1219.93,1225.57,1216.82,1224.71,1224.71,3735780000
06/12/2010,1223.87,1225.8,1220.67,1223.12,1223.12,3527370000
07/12/2010,1227.25,1235.05,1223.25,1223.75,1223.75,6970630000
08/12/2010,1225.02,1228.93,1219.5,1228.28,1228.28,4607590000
09/12/2010,1230.14,1234.71,1226.85,1233,1233,4522510000
10/12/2010,1233.85,1240.4,1232.58,1240.4,1240.4,4547310000
13/12/2010,1242.52,1246.73,1240.34,1240.46,1240.46,4361240000
14/12/2010,1241.84,1246.59,1238.17,1241.59,1241.59,4132350000
15/12/2010,1241.58,1244.25,1234.01,1235.23,1235.23,4407340000
16/12/2010,1236.34,1243.75,1232.85,1242.87,1242.87,4736820000
17/12/2010,1243.63,1245.81,1239.87,1243.91,1243.91,4632470000
20/12/2010,1245.76,1250.2,1241.51,1247.08,1247.08,3548140000
21/12/2010,1249.43,1255.82,1249.43,1254.6,1254.6,3479670000
22/12/2010,1254.94,1259.39,1254.94,1258.84,1258.84,1285590000
23/12/2010,1257.53,1258.59,1254.05,1256.77,1256.77,2515020000
27/12/2010,1254.66,1258.43,1251.48,1257.54,1257.54,1992470000
28/12/2010,1259.1,1259.9,1256.22,1258.51,1258.51,2478450000
29/12/2010,1258.78,1262.6,1258.78,1259.78,1259.78,2214380000
30/12/2010,1259.44,1261.09,1256.32,1257.88,1257.88,1970720000
31/12/2010,1256.76,1259.34,1254.19,1257.64,1257.64,1799770000
03/01/2011,1257.62,1276.17,1257.62,1271.87,1271.87,4286670000
