date,open_btc,high_btc,low_btc,close_btc,volume_btc,%var_btc,open_sp,high_sp,low_sp,close_sp,volume_sp,%var_sp,close_gd,open_gd,high_gd,low_gd,volume_gd,%var_gd
2010-12-30,0.29557189,0.36340767,0.29260444,0.3,2540,1.5,1259.44,1261.09,1256.32,1257.88,1970720000,-0.12,1.4059,1.4122,1.4154,1.4035,6492000,-0.54
2010-12-31,0.29990545,0.32563476,0.25919374,0.3,1454,0.03,1256.76,1259.34,1254.19,1257.64,1799770000,0.07,1.4214,1.405,1.422,1.4046,4481000,1.1
2011-01-03,0.30013702,0.33838646,0.27784764,0.29734758,1427,-0.93,1257.62,1276.17,1257.62,1271.87,4286670000,1.13,1.4229,1.4204,1.4244,1.4131,7720000,0.11
2011-01-04,0.29722666,0.31011918,0.2486047,0.29943919,1883,0.74,1272.95,1274.12,1262.66,1270.2,4796420000,-0.22,1.3788,1.4148,1.4178,1.375,21191000,-3.1
2011-01-05,0.30077296,0.39205549,0.28845427,0.29925195,356,-0.51,1268.78,1277.63,1265.36,1276.56,4764920000,0.61,1.3737,1.3807,1.3852,1.364,20234000,-0.37
2011-01-06,0.29918587,0.3082279,0.2544992,0.29929227,3445,0.04,1276.29,1278.17,1270.43,1273.85,4844100000,-0.19,1.3717,1.3764,1.38,1.3643,17324000,-0.15
2011-01-07,0.29962122,0.38489632,0.29962122,0.31580281,42513,5.4,1274.41,1276.83,1261.7,1271.5,4963110000,-0.23,1.3689,1.3717,1.379,1.3527,22383000,-0.2
2011-01-10,0.32166059,0.34914519,0.29856777,0.32369563,10364,0.63,1270.84,1271.52,1262.18,1269.75,4036450000,-0.09,1.3741,1.3698,1.3764,1.365,11886000,0.38
2011-01-11,0.32359144,0.33969312,0.285282,0.32831704,4846,1.46,1272.58,1277.25,1269.62,1274.48,4050750000,0.15,1.3843,1.3757,1.3868,1.3724,15215000,0.74
2011-01-12,0.32752198,0.33898362,0.26190047,0.32991032,31272,0.73,1275.65,1286.87,1275.65,1285.96,4226940000,0.81,1.3858,1.3811,1.389,1.3763,14750000,0.11
2011-01-13,0.33043849,0.4167588,0.32303972,0.33186037,20116,0.43,1285.78,1286.7,1280.47,1283.76,4310840000,-0.16,1.387,1.3871,1.3929,1.3691,20200000,0.09
2011-01-14,0.3325928,0.46348614,0.3325928,0.41681494,27102,25.32,1282.9,1293.24,1281.24,1293.24,4661590000,0.81,1.3605,1.3736,1.3778,1.3546,20039000,-1.91
2011-01-19,0.31856292,0.34228397,0.28641413,0.32620889,7285,2.4,1294.52,1294.6,1278.92,1281.92,4743710000,-0.97,1.3702,1.3678,1.3789,1.3655,13709000,0.15
2011-01-20,0.3267831,0.44697875,0.3267831,0.35915901,19876,9.91,1280.85,1283.35,1271.26,1280.26,4935320000,-0.05,1.3465,1.3699,1.3709,1.3424,24289000,-1.73
2011-01-21,0.35884855,0.39429678,0.30461703,0.38758178,8472,8.01,1283.63,1291.21,1282.07,1283.35,4935320000,-0.02,1.341,1.3455,1.3497,1.337,16157000,-0.41
2011-01-24,0.43111394,0.48381587,0.39583486,0.42325612,11009,-1.82,1283.29,1291.93,1282.47,1290.84,3902470000,0.59,1.3445,1.343,1.3524,1.3318,18211000,0.26
2011-01-25,0.42306448,0.44682642,0.38091848,0.42550434,2171,0.58,1288.17,1291.26,1281.07,1291.18,4595380000,0.23,1.3323,1.3338,1.338,1.3219,22763000,-0.91
2011-01-26,0.4260145,0.50075858,0.40513647,0.41881367,15550,-1.69,1291.97,1299.74,1291.97,1296.63,4730980000,0.36,1.333,1.3315,1.3464,1.3243,20800000,0.05
2011-01-27,0.4184157,0.42527228,0.3402994,0.42085583,27827,0.58,1297.51,1301.29,1294.41,1299.54,4309190000,0.16,1.3184,1.3459,1.3475,1.3097,21070000,-1.1
